Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
Bank of Baroda,BANKBARODA.NS,7.749396,37.19,0.13079001,,0.002
Bank of India,BANKINDIA.NS,6.59915,21.18,0.12234,,0.025
Bansal Wire Industries Limited,BANSALWIRE.NS,32.082478,9.7,0.120120004,44.37,0.279
Banswara Syntex Limited,BANSWRAS.NS,18.039433,6.34,0.03951,89.715,0.006
BASF India Limited,BASF.NS,44.857143,86.8,,3.857,-0.048
Bannari Amman Spinning Mills Limited,BASML.NS,12.646227,2.12,0.03419,95.855,-0.02
Bata India Limited,BATAINDIA.NS,71.53123,13.29,0.113900006,90.391,-0.043
Bayer Cropscience Limited,BAYERCROP.NS,33.621723,135.35,0.19624001,3.266,-0.106
Bharat Bijlee Limited,BBL.NS,20.806366,130.09,0.066750005,8.707,0.201
Black Box Limited,BBOX.NS,42.738556,12.89,0.28500998,114.749,0.058
Bombay Burmah Trading Corporation Limited,BBTC.NS,11.347996,161.87,0.30644,30.298,0.039
B&B Triplewall Containers Limited,BBTCL.NS,30.360317,6.3,-0.022149999,199.068,0.217
Brightcom Group Limited,BCG.NS,2.5935159,4.01,0.09182,,0.262
Bcl Industries Limited,BCLIND.NS,9.107346,3.54,0.13576001,74.479,-0.041
Brand Concepts Limited,BCONCEPTS.NS,868.68427,0.38,0.00764,238.883,0.383
Bharat Dynamics Limited,BDL.NS,83.16826,17.77,0.16458,0.029,1.106
Beardsell Limited,BEARDSELL.NS,13.245764,2.36,0.115109995,36.022,0.037
Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS,52.73138,4.43,0.11693,15.033,0.111
Bedmutha Industries Limited,BEDMUTHA.NS,,-0.02,-0.00035999998,151.954,0.446
Bharat Electronics Limited,BEL.NS,51.083332,7.8,0.29009,0.273,0.258
Bella Casa Fashion & Retail Limited,BELLACASA.NS,26.058163,14.27,0.15186,49.781,0.18
Belrise Industries Limited,BELRISE.NS,35.03711,5.12,0.12213001,28.531,0.138
BEML Limited,BEML.NS,52.888134,35.49,0.10762,23.787,-0.024
Bhansali Engineering Polymers Limited,BEPL.NS,13.394619,6.69,0.16578,,-0.114
Berger Paints (I) Limited,BERGEPAINT.NS,58.473568,9.27,0.18165001,11.082,0.019
Best Agrolife Limited,BESTAGRO.NS,70.53505,5.42,0.01637,53.825,-0.308
Beta Drugs Limited,BETA.NS,24.310965,63.93,0.20852,65.95,0.129
BF Investment Limited,BFINVEST.NS,19.19229,21.79,0.01089,,0.042
BF Utilities Limited,BFUTILITIE.NS,17.912954,39.29,,,-0.971
BGR Energy Systems Limited,BGRENERGY.NS,,-137.71,,,0.009
Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS,246.39784,0.93,0.01852,27.379,0.351
Bhageria Industries Limited,BHAGERIA.NS,15.660103,11.68,0.088690005,12.876,0.583
Bhagyanagar India Limited,BHAGYANGR.NS,17.878647,8.57,0.12896,162.99,0.422
Bhandari Hosiery Exports Limited,BHANDARI.NS,11.705882,0.34,0.054180004,64.953,0.002
Bharat Forge Limited,BHARATFORG.NS,63.80027,22.63,0.13017,71.382,0.093
Bharat Gears Limited,BHARATGEAR.NS,555.4211,0.19,0.00235,64.485,0.244
Bharat Rasayan Limited,BHARATRAS.NS,28.674728,80.21,0.117819995,7.556,-0.128
Bharat Seats Limited,BHARATSE.NS,29.38715,6.07,0.19917,63.95,0.578
Bharat Wire Ropes Limited,BHARATWIRE.NS,16.72243,10.7,0.099259995,13.182,0.081
Bharti Airtel Limited,BHARTIARTL.NS,32.71795,64.35,0.33018002,129.719,0.257
Bharti Hexacom Limited,BHARTIHEXA.NS,59.19689,30.88,0.26943,105.803,0.105
Bharat Heavy Electricals Limited,BHEL.NS,174.84473,1.61,0.02299,44.956,0.141
Bigbloc Construction Limited,BIGBLOC.NS,,-0.09,-0.05691,140.107,0.303
Bikaji Foods International Limited,BIKAJI.NS,87.85464,8.53,0.14022,19.446,0.151
Bhartiya International Limited,BIL.NS,33.034206,22.51,0.06491,104.25,0.35
BIL VYAPAR LIMITED,BILVYAPAR.NS,,-0.73,,,
Biocon Limited,BIOCON.NS,99.3593,3.98,0.025510002,50.024,0.196
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS,19.33143,1.75,0.144,0.094,4.601
Birla Cable Limited,BIRLACABLE.NS,82.76048,1.67,0.01881,41.628,-0.031
Birla Corporation Limited,BIRLACORPN.NS,16.655834,64.62,0.070700005,44.718,0.13
Aditya Birla Money Limited,BIRLAMONEY.NS,14.380858,10.03,0.23936,658.075,-0.211
